,Beta [degrees],Cv [-],LCG [%L],Tao [degrees],Fn [-],H1/3 /b [-],ncg [g]
220,30,0.8,39.4,3,0.594961647,0.462,0.28
221,30,0.8,39.4,3,0.594961647,0.632,0.29
222,30,0.8,40.1,3,0.89244247,0.223,0.19
223,30,0.8,40.1,3,0.89244247,0.365,0.24
224,30,0.8,40.1,3,0.89244247,0.62,0.47
225,30,0.8,41.3,3,1.189923294,0.218,0.26
226,30,0.8,41.3,3,1.189923294,0.355,0.37
227,30,0.8,41.3,3,1.189923294,0.621,0.5
228,30,1,37.3,3,0.594961647,0.247,0.1
229,30,1,37.3,3,0.594961647,0.503,0.48
230,30,1,37.3,3,0.594961647,0.616,0.36
231,30,1,37.8,3,0.89244247,0.225,0.19
232,30,1,37.8,3,0.89244247,0.453,0.38
233,30,1,37.8,3,0.89244247,0.748,0.67
234,30,1,38.8,3,1.189923294,0.288,0.26
235,30,1,38.8,3,1.189923294,0.478,0.44
236,30,1,38.8,3,1.189923294,0.694,0.6
237,30,1.2,39.7,3,0.594961647,0.219,0.12
238,30,1.2,39.7,3,0.594961647,0.362,0.16
239,30,1.2,39.7,3,0.594961647,0.634,0.31
240,30,1.2,39.7,3,0.89244247,0.219,0.14
241,30,1.2,39.7,3,0.89244247,0.38,0.22
242,30,1.2,39.7,3,0.89244247,0.587,0.28
243,30,1.2,41.3,3,1.189923294,0.228,0.23
244,30,1.2,41.3,3,1.189923294,0.33,0.3
245,30,0.8,34.1,2,0.594961647,0.215,0.13
246,30,0.8,34.1,2,0.594961647,0.351,0.15
247,30,0.8,35.3,2,0.89244247,0.236,0.16
248,30,0.8,35.3,2,0.89244247,0.42,0.23
249,30,0.8,35.3,2,0.89244247,0.634,0.3
250,30,0.8,35.8,2,1.189923294,0.225,0.2
