,Beta [degrees],Cv [-],LCG [%L],Tao [degrees],H1/3 /b [-],ncg [g],nbow [g]
73,20,0.720000029,44.4,3.579999924,0.670000017,1.053016393,1.52
74,20,0.720000029,35.4,5.5,0.670000017,1.369360656,1.74
75,20,0.600000024,44.4,2.539999962,0.439999998,0.955114754,1.49
76,20,0.600000024,41.4,3.170000076,0.439999998,1.139278689,1.66
77,20,0.720000029,44.4,2.890000105,0.439999998,0.946262295,1.3
78,20,0.720000029,35.4,3.99000001,0.439999998,1.223942623,1.88
79,20,0.600000024,44.4,3.329999924,0.670000017,1.295409836,1.74
80,20,0.600000024,41.4,3.589999914,0.670000017,1.397639344,1.78
81,20,0.720000029,44.4,3.49000001,0.670000017,1.192786885,1.56
82,20,0.720000029,35.4,4.590000153,0.670000017,1.443672131,1.86
83,20,0.730000019,39.71428571,2.109999895,0.219999999,0.182722628,0.381
84,20,0.959999979,39.71428571,2.670000076,0.219999999,0.198233577,0.414
85,20,0.959999979,28.57142857,6.5,0.219999999,0.244671533,0.894
86,20,1.200000048,39.71428571,3.390000105,0.219999999,0.196437956,0.468
87,20,1.200000048,39.71428571,8.340000153,0.219999999,0.343467153,0.843
88,20,0.730000019,39.71428571,2,0.439999998,0.305978102,0.687
89,20,0.959999979,39.71428571,2.700000048,0.439999998,0.334890511,0.584
90,20,0.959999979,28.57142857,6.96999979,0.439999998,0.596593674,2.522
91,20,1.200000048,39.71428571,3.369999886,0.439999998,0.364890511,0.842
92,20,1.200000048,28.57142857,3.539999962,0.439999998,0.647773723,1.949
93,20,0.730000019,39.71428571,2.049999952,0.670000017,0.411656934,0.947
94,20,0.959999979,39.71428571,2.890000105,0.670000017,0.442905109,0.714
95,20,0.959999979,28.57142857,7.829999924,0.670000017,0.933333333,2.389
96,20,1.200000048,39.71428571,3.529999971,0.670000017,0.49559854,1.237
97,20,1.200000048,28.57142857,9.180000305,0.670000017,0.872712895,2.436
98,20,0.730000019,39.71428571,2.630000114,0.219999999,0.302138686,0.605
